Gender,Race_ethnicity,Parental_level_of_education,Lunch,Test_preparation_course,Math_score,Reading_score,Writing_score
Female,group B,Bachelor'S Degree,standard,none,72,72,74
Female,group C,Some College,standard,completed,69,90,88
Female,group B,Master'S Degree,standard,none,90,95,93
Male,group A,Associate'S Degree,free/reduced,none,47,57,44
Male,group C,Some College,standard,none,76,78,75
Female,group B,Associate'S Degree,standard,none,71,83,78
Female,group B,Some College,standard,completed,88,95,92
Male,group B,Some College,free/reduced,none,40,43,39
Male,group D,High School,free/reduced,completed,64,64,67
Female,group B,High School,free/reduced,none,38,60,50
Male,group C,Associate'S Degree,standard,none,58,54,52
Male,group D,Associate'S Degree,standard,none,40,52,43
Female,group B,High School,standard,none,65,81,73
Male,group A,Some College,standard,completed,78,72,70
Female,group A,Master'S Degree,standard,none,50,53,58
Female,group C,Some High School,standard,none,69,75,78
Male,group C,High School,standard,none,88,89,86
Female,group B,Some High School,free/reduced,none,18,32,28
Male,group C,Master'S Degree,free/reduced,completed,46,42,46
Female,group C,Associate'S Degree,free/reduced,none,54,58,61
Male,group D,High School,standard,none,66,69,63
Female,group B,Some College,free/reduced,completed,65,75,70
Male,group D,Some College,standard,none,44,54,53
Female,group C,Some High School,standard,none,69,73,73
Male,group D,Bachelor'S Degree,free/reduced,completed,74,71,80
Male,group A,Master'S Degree,free/reduced,none,73,74,72
Male,group B,Some College,standard,none,69,54,55
Female,group C,Bachelor'S Degree,standard,none,67,69,75
Male,group C,High School,standard,none,70,70,65
Female,group D,Master'S Degree,standard,none,62,70,75
Female,group D,Some College,standard,none,69,74,74
Female,group B,Some College,standard,none,63,65,61
Female,group E,Master'S Degree,free/reduced,none,56,72,65
Male,group D,Some College,standard,none,40,42,38
Male,group E,Some College,standard,none,97,87,82
Male,group E,Associate'S Degree,standard,completed,81,81,79
Female,group D,Associate'S Degree,standard,none,74,81,83
Female,group D,Some High School,free/reduced,none,50,64,59
Female,group D,Associate'S Degree,free/reduced,completed,75,90,88
Male,group B,Associate'S Degree,free/reduced,none,57,56,57
Male,group C,Associate'S Degree,free/reduced,none,55,61,54
Female,group C,Associate'S Degree,standard,none,58,73,68
Female,group B,Associate'S Degree,standard,none,53,58,65
Male,group B,Some College,free/reduced,completed,59,65,66
Female,group E,Associate'S Degree,free/reduced,none,50,56,54
Male,group B,Associate'S Degree,standard,none,65,54,57
Female,group A,Associate'S Degree,standard,completed,55,65,62
Female,group C,High School,standard,none,66,71,76
Female,group D,Associate'S Degree,free/reduced,completed,57,74,76
Male,group C,High School,standard,completed,82,84,82
Male,group E,Some College,standard,none,53,55,48
Male,group E,Associate'S Degree,free/reduced,completed,77,69,68
Male,group C,Some College,standard,none,53,44,42
Male,group D,High School,standard,none,88,78,75
Female,group C,Some High School,free/reduced,completed,71,84,87
Female,group C,High School,free/reduced,none,33,41,43
Female,group E,Associate'S Degree,standard,completed,82,85,86
Male,group D,Associate'S Degree,standard,none,52,55,49
Male,group D,Some College,standard,completed,58,59,58
Female,group C,Some High School,free/reduced,none,0,17,10
Male,group E,Bachelor'S Degree,free/reduced,completed,79,74,72
Male,group A,Some High School,free/reduced,none,39,39,34
Male,group A,Associate'S Degree,free/reduced,none,62,61,55
Female,group C,Associate'S Degree,standard,none,69,80,71
Female,group D,Some High School,standard,none,59,58,59
Male,group B,Some High School,standard,none,67,64,61
Male,group D,Some High School,free/reduced,none,45,37,37
Female,group C,Some College,standard,none,60,72,74
Male,group B,Associate'S Degree,free/reduced,none,61,58,56
Female,group C,Associate'S Degree,standard,none,39,64,57
Female,group D,Some College,free/reduced,completed,58,63,73
Male,group D,Some College,standard,completed,63,55,63
Female,group A,Associate'S Degree,free/reduced,none,41,51,48
Male,group C,Some High School,free/reduced,none,61,57,56
Male,group C,Some High School,standard,none,49,49,41
Male,group B,Associate'S Degree,free/reduced,none,44,41,38
Male,group E,Some High School,standard,none,30,26,22
Male,group A,Bachelor'S Degree,standard,completed,80,78,81
Female,group D,Some High School,standard,completed,61,74,72
Female,group E,Master'S Degree,standard,none,62,68,68
Female,group B,Associate'S Degree,standard,none,47,49,50
Male,group B,High School,free/reduced,none,49,45,45
Male,group A,Some College,free/reduced,completed,50,47,54
Male,group E,Associate'S Degree,standard,none,72,64,63
Male,group D,High School,free/reduced,none,42,39,34
Female,group C,Some College,standard,none,73,80,82
Female,group C,Some College,free/reduced,none,76,83,88
Female,group D,Associate'S Degree,standard,none,71,71,74
Female,group A,Some College,standard,none,58,70,67
Female,group D,Some High School,standard,none,73,86,82
Female,group C,Bachelor'S Degree,standard,none,65,72,74
Male,group C,High School,free/reduced,none,27,34,36
Male,group C,High School,standard,none,71,79,71
Male,group C,Associate'S Degree,free/reduced,completed,43,45,50
Female,group B,Some College,standard,none,79,86,92
Male,group C,Associate'S Degree,free/reduced,completed,78,81,82
Male,group B,Some High School,standard,completed,65,66,62
Female,group E,Some College,standard,completed,63,72,70
Female,group D,Some College,free/reduced,none,58,67,62
Female,group D,Bachelor'S Degree,standard,none,65,67,62
Male,group B,Some College,standard,none,79,67,67
Male,group D,Bachelor'S Degree,standard,completed,68,74,74
Female,group D,Associate'S Degree,standard,none,85,91,89
Male,group B,High School,standard,completed,60,44,47
Male,group C,Some College,standard,completed,98,86,90
Female,group C,Some College,standard,none,58,67,72
Female,group D,Master'S Degree,standard,none,87,100,100
Male,group E,Associate'S Degree,standard,completed,66,63,64
Female,group B,Associate'S Degree,free/reduced,none,52,76,70
Female,group B,Some High School,standard,none,70,64,72
Female,group D,Associate'S Degree,free/reduced,completed,77,89,98
Male,group C,High School,standard,none,62,55,49
Male,group A,Associate'S Degree,standard,none,54,53,47
Female,group D,Some College,standard,none,51,58,54
Female,group E,Bachelor'S Degree,standard,completed,99,100,100
Male,group C,High School,standard,none,84,77,74
Female,group B,Bachelor'S Degree,free/reduced,none,75,85,82
Female,group D,Bachelor'S Degree,standard,none,78,82,79
Female,group D,Some High School,standard,none,51,63,61
Female,group C,Some College,standard,none,55,69,65
Female,group C,Bachelor'S Degree,standard,completed,79,92,89
Male,group B,Associate'S Degree,standard,completed,91,89,92
Female,group C,Some College,standard,completed,88,93,93
Male,group D,High School,free/reduced,none,63,57,56
Male,group E,Some College,standard,none,83,80,73
Female,group B,High School,standard,none,87,95,86
Male,group B,Some High School,standard,none,72,68,67
Male,group D,Some College,standard,completed,65,77,74
Male,group D,Master'S Degree,standard,none,82,82,74
Female,group A,Bachelor'S Degree,standard,none,51,49,51
Male,group D,Master'S Degree,standard,none,89,84,82
Male,group C,Some High School,free/reduced,completed,53,37,40
Male,group E,Some College,free/reduced,completed,87,74,70
Female,group C,Some College,standard,completed,75,81,84
Male,group D,Bachelor'S Degree,free/reduced,completed,74,79,75
Male,group C,Bachelor'S Degree,standard,none,58,55,48
Male,group B,Some High School,standard,completed,51,54,41
Male,group E,High School,standard,none,70,55,56
Female,group C,Associate'S Degree,standard,none,59,66,67
Male,group D,Some College,standard,completed,71,61,69
Female,group D,Some High School,standard,none,76,72,71
Female,group C,Some College,free/reduced,none,59,62,64
Female,group E,Some College,free/reduced,completed,42,55,54
Male,group A,High School,standard,none,57,43,47
Male,group D,Some College,standard,none,88,73,78
Female,group C,Some College,free/reduced,none,22,39,33
Male,group B,Some High School,standard,none,88,84,75
Male,group C,Associate'S Degree,free/reduced,none,73,68,66
Female,group D,Bachelor'S Degree,standard,completed,68,75,81
Male,group E,Associate'S Degree,free/reduced,completed,100,100,93
Male,group A,Some High School,standard,completed,62,67,69
Male,group A,Bachelor'S Degree,standard,none,77,67,68
Female,group B,Associate'S Degree,standard,completed,59,70,66
Male,group D,Bachelor'S Degree,standard,none,54,49,47
Male,group D,Some High School,standard,none,62,67,61
Female,group C,Some College,standard,completed,70,89,88
Female,group E,High School,free/reduced,completed,66,74,78
Male,group B,Some College,free/reduced,none,60,60,60
Female,group B,Associate'S Degree,standard,completed,61,86,87
Male,group D,Associate'S Degree,free/reduced,none,66,62,64
Male,group B,Associate'S Degree,free/reduced,completed,82,78,74
Female,group E,Some College,free/reduced,completed,75,88,85
Male,group B,Master'S Degree,free/reduced,none,49,53,52
Male,group C,High School,standard,none,52,53,49
Female,group E,Master'S Degree,standard,none,81,92,91
Female,group C,Bachelor'S Degree,standard,completed,96,100,100
Male,group C,High School,free/reduced,completed,53,51,51
Female,group B,Master'S Degree,free/reduced,completed,58,76,78
Female,group B,High School,standard,completed,68,83,78
Female,group C,Some College,free/reduced,completed,67,75,70
Male,group A,High School,standard,completed,72,73,74
Male,group E,Some High School,standard,none,94,88,78
Female,group D,Some College,standard,none,79,86,81
Female,group C,Associate'S Degree,standard,none,63,67,70
Female,group C,Bachelor'S Degree,free/reduced,completed,43,51,54
Female,group C,Master'S Degree,standard,completed,81,91,87
Female,group B,High School,free/reduced,completed,46,54,58
Female,group C,Associate'S Degree,standard,completed,71,77,77
Female,group B,Master'S Degree,free/reduced,completed,52,70,62
Female,group D,Some High School,standard,completed,97,100,100
Male,group C,Master'S Degree,free/reduced,completed,62,68,75
Female,group C,Some College,free/reduced,none,46,64,66
Female,group E,High School,standard,none,50,50,47
Female,group D,Associate'S Degree,standard,none,65,69,70
Male,group C,Some High School,free/reduced,completed,45,52,49
Male,group C,Associate'S Degree,free/reduced,completed,65,67,65
Male,group E,High School,standard,none,80,76,65
Male,group D,Some High School,standard,completed,62,66,68
Male,group B,Some High School,free/reduced,none,48,52,45
Female,group C,Bachelor'S Degree,standard,none,77,88,87
Female,group E,Associate'S Degree,standard,none,66,65,69
Male,group D,Some College,standard,completed,76,83,79
Female,group B,Some High School,standard,none,62,64,66
Male,group D,Some College,standard,completed,77,62,62
Female,group C,Master'S Degree,standard,completed,69,84,85
Male,group D,Associate'S Degree,standard,none,61,55,52
Male,group C,Some High School,free/reduced,completed,59,69,65
Male,group E,High School,free/reduced,none,55,56,51
Female,group B,Some College,free/reduced,none,45,53,55
Female,group B,Bachelor'S Degree,free/reduced,none,78,79,76
Female,group C,Associate'S Degree,standard,completed,67,84,86
Female,group D,Some College,free/reduced,none,65,81,77
Male,group C,Associate'S Degree,standard,none,69,77,69
Female,group B,Associate'S Degree,standard,none,57,69,68
Male,group C,Some College,standard,none,59,41,42
Male,group D,Some High School,standard,completed,74,71,78
Male,group E,Bachelor'S Degree,standard,none,82,62,62
Male,group E,High School,standard,completed,81,80,76
Female,group B,Some College,free/reduced,none,74,81,76
Female,group B,Some College,free/reduced,none,58,61,66
Male,group D,Some High School,free/reduced,completed,80,79,79
Male,group C,Some College,free/reduced,none,35,28,27
Female,group C,High School,free/reduced,none,42,62,60
Male,group C,Associate'S Degree,free/reduced,completed,60,51,56
Male,group E,High School,standard,completed,87,91,81
Male,group B,Some High School,standard,completed,84,83,75
Female,group E,Associate'S Degree,free/reduced,completed,83,86,88
Female,group C,High School,free/reduced,none,34,42,39
Male,group B,High School,free/reduced,none,66,77,70
Male,group B,Some High School,standard,completed,61,56,56
Female,group D,High School,standard,completed,56,68,74
Male,group B,Associate'S Degree,standard,none,87,85,73
Female,group C,Some High School,free/reduced,none,55,65,62
Male,group D,Some High School,standard,none,86,80,75
Female,group B,Associate'S Degree,standard,completed,52,66,73
Female,group E,Master'S Degree,free/reduced,none,45,56,54
Female,group C,Some College,standard,none,72,72,71
Male,group D,High School,standard,none,57,50,54
Male,group A,Some High School,free/reduced,none,68,72,64
Female,group C,Some College,standard,completed,88,95,94
Male,group D,Some College,standard,none,76,64,66
Male,group C,Associate'S Degree,standard,none,46,43,42
Female,group B,Bachelor'S Degree,standard,none,67,86,83
Male,group E,Some High School,standard,none,92,87,78
Male,group C,Bachelor'S Degree,standard,completed,83,82,84
Male,group D,Associate'S Degree,standard,none,80,75,77
Male,group D,Bachelor'S Degree,free/reduced,none,63,66,67
Female,group D,Some High School,standard,completed,64,60,74
Male,group B,Some College,standard,none,54,52,51
Male,group C,Associate'S Degree,standard,none,84,80,80
Male,group D,High School,free/reduced,completed,73,68,66
Female,group E,Bachelor'S Degree,standard,none,80,83,83
Female,group D,High School,standard,none,56,52,55
Male,group E,Some College,standard,none,59,51,43
Male,group D,Some High School,standard,none,75,74,69
Male,group C,Associate'S Degree,standard,none,85,76,71
Male,group E,Associate'S Degree,standard,none,89,76,74
Female,group B,High School,standard,completed,58,70,68
Female,group B,High School,standard,none,65,64,62
Male,group C,High School,standard,none,68,60,53
Male,group A,Some High School,standard,completed,47,49,49
Female,group D,Some College,free/reduced,none,71,83,83
Female,group B,Some High School,standard,completed,60,70,70
Male,group D,Master'S Degree,standard,none,80,80,72
Male,group D,High School,standard,none,54,52,52
Female,group E,Some College,standard,none,62,73,70
Female,group C,Associate'S Degree,free/reduced,none,64,73,68
Male,group C,Associate'S Degree,standard,completed,78,77,77
Female,group B,Some College,standard,none,70,75,78
Female,group C,Master'S Degree,free/reduced,completed,65,81,81
Female,group C,Some High School,free/reduced,completed,64,79,77
Male,group C,Some College,standard,completed,79,79,78
Female,group C,Some High School,free/reduced,none,44,50,51
Female,group E,High School,standard,none,99,93,90
Male,group D,High School,standard,none,76,73,68
Male,group D,Some High School,free/reduced,none,59,42,41
Female,group C,Bachelor'S Degree,standard,none,63,75,81
Female,group D,High School,standard,none,69,72,77
Female,group D,Associate'S Degree,standard,completed,88,92,95
Female,group E,Some College,free/reduced,none,71,76,70
Male,group C,Bachelor'S Degree,standard,none,69,63,61
Male,group C,Some College,standard,none,58,49,42
Female,group D,Associate'S Degree,free/reduced,none,47,53,58
Female,group D,Some College,standard,none,65,70,71
Male,group B,Some College,standard,completed,88,85,76
Male,group C,Bachelor'S Degree,standard,none,83,78,73
Female,group C,Some High School,standard,completed,85,92,93
Female,group E,High School,standard,completed,59,63,75
Female,group C,Some High School,free/reduced,none,65,86,80
Male,group B,Bachelor'S Degree,free/reduced,none,73,56,57
Male,group D,High School,standard,none,53,52,42
Male,group D,High School,standard,none,45,48,46
Female,group D,Bachelor'S Degree,free/reduced,none,73,79,84
Female,group D,Some College,free/reduced,completed,70,78,78
Female,group B,Some High School,standard,none,37,46,46
Male,group B,Associate'S Degree,standard,completed,81,82,82
Male,group E,Associate'S Degree,standard,completed,97,82,88
Female,group B,Some High School,standard,none,67,89,82
Male,group B,Bachelor'S Degree,free/reduced,none,88,75,76
Male,group E,Some High School,standard,completed,77,76,77
Male,group C,Associate'S Degree,standard,none,76,70,68
Male,group D,Some High School,standard,none,86,73,70
Male,group C,Some High School,standard,completed,63,60,57
Female,group E,Bachelor'S Degree,standard,none,65,73,75
Male,group D,High School,free/reduced,completed,78,77,80
Male,group B,Associate'S Degree,free/reduced,none,67,62,60
Male,group A,Some High School,standard,completed,46,41,43
Male,group E,Associate'S Degree,standard,completed,71,74,68
Male,group C,High School,free/reduced,completed,40,46,50
Male,group D,Associate'S Degree,free/reduced,none,90,87,75
Male,group A,Some College,free/reduced,completed,81,78,81
Male,group D,Some High School,free/reduced,none,56,54,52
Female,group C,Associate'S Degree,standard,completed,67,84,81
Male,group B,Associate'S Degree,standard,none,80,76,64
Female,group C,Associate'S Degree,standard,completed,74,75,83
Male,group A,Some College,standard,none,69,67,69
Male,group E,Some College,standard,completed,99,87,81
Male,group C,Some High School,standard,none,51,52,44
Female,group B,Associate'S Degree,free/reduced,none,53,71,67
Female,group D,High School,free/reduced,none,49,57,52
Female,group B,Associate'S Degree,standard,none,73,76,80
Male,group B,Bachelor'S Degree,standard,none,66,60,57
Male,group D,Bachelor'S Degree,standard,completed,67,61,68
Female,group C,Associate'S Degree,free/reduced,completed,68,67,69
Female,group C,Bachelor'S Degree,standard,completed,59,64,75
Male,group C,High School,standard,none,71,66,65
Female,group D,Master'S Degree,standard,completed,77,82,91
Male,group C,Associate'S Degree,standard,none,83,72,78
Male,group B,Bachelor'S Degree,standard,none,63,71,69
Female,group D,Associate'S Degree,free/reduced,none,56,65,63
Female,group C,High School,free/reduced,completed,67,79,84
Female,group E,High School,standard,none,75,86,79
Female,group C,Some College,standard,none,71,81,80
Female,group C,Some High School,free/reduced,none,43,53,53
Female,group C,High School,free/reduced,none,41,46,43
Female,group C,Some College,standard,none,82,90,94
Male,group C,Some College,standard,none,61,61,62
Male,group A,Some College,free/reduced,none,28,23,19
Male,group C,Associate'S Degree,standard,completed,82,75,77
Female,group B,Some High School,standard,none,41,55,51
Male,group C,High School,standard,none,71,60,61
Male,group C,Associate'S Degree,standard,none,47,37,35
Male,group E,Associate'S Degree,standard,completed,62,56,53
Male,group B,Associate'S Degree,standard,none,90,78,81
Female,group C,Bachelor'S Degree,standard,none,83,93,95
Female,group B,Some College,free/reduced,none,61,68,66
Male,group D,Some High School,standard,completed,76,70,69
Male,group C,Associate'S Degree,standard,none,49,51,43
Female,group B,Some High School,free/reduced,none,24,38,27
Female,group D,Some High School,free/reduced,completed,35,55,60
Male,group C,High School,free/reduced,none,58,61,52
Female,group C,High School,standard,none,61,73,63
Female,group B,High School,standard,completed,69,76,74
Male,group D,Associate'S Degree,standard,completed,67,72,67
Male,group D,Some College,standard,none,79,73,67
Female,group C,High School,standard,none,72,80,75
Male,group B,Some College,standard,none,62,61,57
Female,group C,Bachelor'S Degree,standard,completed,77,94,95
Male,group D,High School,free/reduced,none,75,74,66
Male,group E,Associate'S Degree,standard,none,87,74,76
Female,group B,Bachelor'S Degree,standard,none,52,65,69
Male,group E,Some College,standard,none,66,57,52
Female,group C,Some College,standard,completed,63,78,80
Female,group C,Associate'S Degree,standard,none,46,58,57
Female,group C,Some College,standard,none,59,71,70
Female,group B,Bachelor'S Degree,standard,none,61,72,70
Male,group A,Associate'S Degree,standard,none,63,61,61
Female,group C,Some College,free/reduced,completed,42,66,69
Male,group D,Some College,free/reduced,none,59,62,61
Female,group D,Some College,standard,none,80,90,89
Female,group B,High School,standard,none,58,62,59
Male,group B,Some High School,standard,completed,85,84,78
Female,group C,Some College,standard,none,52,58,58
Female,group D,Some High School,free/reduced,none,27,34,32
Male,group C,Some College,standard,none,59,60,58
Male,group A,Bachelor'S Degree,free/reduced,completed,49,58,60
Male,group C,High School,standard,completed,69,58,53
Male,group C,Bachelor'S Degree,free/reduced,none,61,66,61
Female,group A,Some High School,free/reduced,none,44,64,58
Female,group D,Some High School,standard,none,73,84,85
Male,group E,Some College,standard,none,84,77,71
Female,group C,Some College,free/reduced,completed,45,73,70
Male,group D,Some High School,standard,none,74,74,72
Female,group D,Some College,standard,completed,82,97,96
Female,group D,Bachelor'S Degree,standard,none,59,70,73
Male,group E,Associate'S Degree,free/reduced,none,46,43,41
Female,group D,Some High School,standard,none,80,90,82
Female,group D,Master'S Degree,free/reduced,completed,85,95,100
Female,group A,Some High School,standard,none,71,83,77
Male,group A,Bachelor'S Degree,standard,none,66,64,62
Female,group B,Associate'S Degree,standard,none,80,86,83
Male,group C,Associate'S Degree,standard,completed,87,100,95
Male,group C,Master'S Degree,free/reduced,none,79,81,71
Female,group E,Some High School,free/reduced,none,38,49,45
Female,group A,Some High School,free/reduced,none,38,43,43
Female,group E,Some College,standard,none,67,76,75
Female,group E,Bachelor'S Degree,standard,none,64,73,70
Female,group C,Associate'S Degree,free/reduced,none,57,78,67
Female,group D,High School,standard,none,62,64,64
Male,group D,Master'S Degree,standard,none,73,70,75
Male,group E,Some High School,free/reduced,completed,73,67,59
Female,group D,Some College,standard,none,77,68,77
Male,group E,Some College,standard,none,76,67,67
Male,group C,Associate'S Degree,standard,completed,57,54,56
Female,group C,Some High School,standard,completed,65,74,77
Male,group A,High School,free/reduced,none,48,45,41
Female,group B,High School,free/reduced,none,50,67,63
Female,group C,Associate'S Degree,standard,none,85,89,95
Male,group B,Some High School,standard,none,74,63,57
Male,group D,Some High School,standard,none,60,59,54
Female,group C,Some High School,standard,completed,59,54,67
Male,group A,Some College,standard,none,53,43,43
Female,group A,Some College,free/reduced,none,49,65,55
Female,group D,High School,standard,completed,88,99,100
Female,group C,High School,standard,none,54,59,62
Female,group C,Some High School,standard,none,63,73,68
Male,group B,Associate'S Degree,standard,completed,65,65,63
Female,group B,Associate'S Degree,standard,none,82,80,77
Female,group D,High School,free/reduced,completed,52,57,56
Male,group D,Associate'S Degree,standard,completed,87,84,85
Female,group D,Master'S Degree,standard,completed,70,71,74
Male,group E,Some College,standard,completed,84,83,78
Male,group D,Associate'S Degree,standard,none,71,66,60
Male,group B,Some High School,standard,completed,63,67,67
Female,group C,Bachelor'S Degree,free/reduced,completed,51,72,79
Male,group E,High School,standard,none,84,73,69
Male,group C,Bachelor'S Degree,standard,completed,71,74,68
Male,group C,Associate'S Degree,standard,none,74,73,67
Male,group D,Some College,standard,none,68,59,62
Male,group E,High School,free/reduced,completed,57,56,54
Female,group C,Associate'S Degree,free/reduced,completed,82,93,93
Female,group D,High School,standard,completed,57,58,64
Female,group D,Master'S Degree,free/reduced,completed,47,58,67
Female,group A,Some High School,standard,completed,59,85,80
Male,group B,Some College,free/reduced,none,41,39,34
Female,group C,Some College,free/reduced,none,62,67,62
Male,group C,Bachelor'S Degree,standard,none,86,83,86
Male,group C,Some High School,free/reduced,none,69,71,65
Male,group A,Some High School,free/reduced,none,65,59,53
Male,group C,Some High School,free/reduced,none,68,63,54
Male,group C,Associate'S Degree,free/reduced,none,64,66,59
Female,group C,High School,standard,none,61,72,70
Male,group C,High School,standard,none,61,56,55
Female,group A,Some High School,free/reduced,none,47,59,50
Male,group C,Some High School,standard,none,73,66,66
Male,group C,Some College,free/reduced,completed,50,48,53
Male,group D,Associate'S Degree,standard,none,75,68,64
Male,group D,Associate'S Degree,free/reduced,none,75,66,73
Male,group C,High School,standard,none,70,56,51
Male,group D,Some High School,standard,completed,89,88,82
Female,group C,Some College,standard,completed,67,81,79
Female,group D,High School,standard,none,78,81,80
Female,group A,Some High School,free/reduced,none,59,73,69
Female,group B,Associate'S Degree,standard,none,73,83,76
Male,group A,Some High School,free/reduced,none,79,82,73
Female,group C,Some High School,standard,completed,67,74,77
Male,group D,Some College,free/reduced,none,69,66,60
Male,group C,High School,standard,completed,86,81,80
Male,group B,High School,standard,none,47,46,42
Male,group B,Associate'S Degree,standard,none,81,73,72
Female,group C,Some College,free/reduced,completed,64,85,85
Female,group E,Some College,standard,none,100,92,97
Female,group C,Associate'S Degree,free/reduced,none,65,77,74
Male,group C,Some College,free/reduced,none,65,58,49
Female,group C,Associate'S Degree,free/reduced,none,53,61,62
Male,group C,Bachelor'S Degree,free/reduced,none,37,56,47
Female,group D,Bachelor'S Degree,standard,none,79,89,89
Male,group D,Associate'S Degree,free/reduced,none,53,54,48
Female,group E,Bachelor'S Degree,standard,none,100,100,100
Male,group B,High School,standard,completed,72,65,68
Male,group C,Bachelor'S Degree,free/reduced,none,53,58,55
Male,group B,Some College,free/reduced,none,54,54,45
Female,group E,Some College,standard,none,71,70,76
Female,group C,Some College,free/reduced,none,77,90,91
Male,group A,Bachelor'S Degree,standard,completed,75,58,62
Female,group C,Some College,standard,none,84,87,91
Female,group D,Associate'S Degree,free/reduced,none,26,31,38
Male,group A,High School,free/reduced,completed,72,67,65
Female,group A,High School,free/reduced,completed,77,88,85
Male,group C,Some College,standard,none,91,74,76
Female,group C,Associate'S Degree,standard,completed,83,85,90
Female,group C,High School,standard,none,63,69,74
Female,group C,Associate'S Degree,standard,completed,68,86,84
Female,group D,Some High School,standard,none,59,67,61
Female,group B,Associate'S Degree,standard,completed,90,90,91
Female,group D,Bachelor'S Degree,standard,completed,71,76,83
Male,group E,Bachelor'S Degree,standard,completed,76,62,66
Male,group D,Associate'S Degree,standard,none,80,68,72
Female,group D,Master'S Degree,standard,none,55,64,70
Male,group E,Associate'S Degree,standard,none,76,71,67
Male,group B,High School,standard,completed,73,71,68
Female,group D,Associate'S Degree,free/reduced,none,52,59,56
Male,group C,Some College,free/reduced,none,68,68,61
Male,group A,High School,standard,none,59,52,46
Female,group B,Associate'S Degree,standard,none,49,52,54
Male,group C,High School,standard,none,70,74,71
Male,group D,Some College,free/reduced,none,61,47,56
Female,group C,Associate'S Degree,free/reduced,none,60,75,74
Male,group B,Some High School,standard,completed,64,53,57
Male,group A,Associate'S Degree,free/reduced,completed,79,82,82
Female,group A,Associate'S Degree,free/reduced,none,65,85,76
Female,group C,Associate'S Degree,standard,none,64,64,70
Female,group C,Some College,standard,none,83,83,90
Female,group C,Bachelor'S Degree,standard,none,81,88,90
Female,group B,High School,standard,none,54,64,68
Male,group D,High School,standard,completed,68,64,66
Female,group C,Some College,standard,none,54,48,52
Female,group D,Some College,free/reduced,completed,59,78,76
Female,group B,Some High School,standard,none,66,69,68
